18:00:13.104 [main] INFO  api.test.UserTest - ******************Creating User*****************
18:00:21.359 [main] INFO  api.test.UserTest - ******************Reading User*****************
18:00:23.167 [main] INFO  api.test.UserTest - ******************Updating User*****************
18:00:26.580 [main] INFO  api.test.UserTest - ******************Deleting User*****************
06:05:25.611 [main] INFO  api.test.UserTest2 - ******************Creating User*****************
06:05:44.220 [main] INFO  api.test.UserTest2 - ******************Reading User*****************
06:05:45.903 [main] INFO  api.test.UserTest2 - ******************Updating User*****************
06:05:49.141 [main] INFO  api.test.UserTest2 - ******************Deleting User*****************
06:31:43.381 [main] INFO  api.test.UserTest2 - ******************Creating User*****************
06:31:53.703 [main] INFO  api.test.UserTest2 - ******************Reading User*****************
06:31:55.428 [main] INFO  api.test.UserTest2 - ******************Updating User*****************
06:31:59.418 [main] INFO  api.test.UserTest2 - ******************Deleting User*****************
06:33:09.772 [main] INFO  api.test.UserTest2 - ******************Creating User*****************
06:33:15.150 [main] INFO  api.test.UserTest2 - ******************Reading User*****************
06:33:16.761 [main] INFO  api.test.UserTest2 - ******************Updating User*****************
06:33:19.945 [main] INFO  api.test.UserTest2 - ******************Deleting User*****************
06:57:45.444 [main] INFO  api.test.UserTest2 - ******************Creating User*****************
06:57:55.114 [main] INFO  api.test.UserTest2 - ******************Reading User*****************
06:57:56.823 [main] INFO  api.test.UserTest2 - ******************Updating User*****************
06:58:00.101 [main] INFO  api.test.UserTest2 - ******************Deleting User*****************
08:40:23.452 [main] INFO  api.test.UserTest2 - ******************Creating User*****************
08:40:29.495 [main] INFO  api.test.UserTest2 - ******************Reading User*****************
08:40:31.219 [main] INFO  api.test.UserTest2 - ******************Updating User*****************
08:40:34.480 [main] INFO  api.test.UserTest2 - ******************Deleting User*****************
